block 1000, total 42000, active 17164, size 12, leak 205968.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 3000, active 2857, size 48, leak 137136.
block 32, total 9184, active 9165, size 340, leak 3116100.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5200, active 4828, size 48, leak 231744.
block 32, total 9184, active 9165, size 340, leak 3116100.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 4800, active 4709, size 48, leak 226032.
block 32, total 9184, active 9165, size 340, leak 3116100.
block 1000, total 38000, active 15735, size 12, leak 188820.
block 200, total 5600, active 3211, size 48, leak 154128.
block 32, total 9216, active 9185, size 340, leak 3122900.
block 1000, total 38000, active 15716, size 12, leak 188592.
block 200, total 5600, active 3232, size 48, leak 155136.
block 32, total 9184, active 9181, size 340, leak 3121540.
block 1000, total 38000, active 15716, size 12, leak 188592.
block 200, total 5200, active 4910, size 48, leak 235680.
block 32, total 9184, active 9165, size 340, leak 3116100.
block 1000, total 38000, active 15716, size 12, leak 188592.
block 200, total 5600, active 3122, size 48, leak 149856.
block 32, total 9216, active 9194, size 340, leak 3125960.
block 1000, total 38000, active 15716, size 12, leak 188592.
block 200, total 6200, active 4435, size 48, leak 212880.
block 32, total 9184, active 9183, size 340, leak 3122220.
block 1000, total 38000, active 15716, size 12, leak 188592.
block 200, total 5600, active 4051, size 48, leak 194448.
block 32, total 8608, active 8589, size 340, leak 2920260.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4184, size 48, leak 200832.
block 32, total 7392, active 7385, size 340, leak 2510900.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5800, active 4167, size 48, leak 200016.
block 32, total 7424, active 7404, size 340, leak 2517360.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4491, size 48, leak 215568.
block 32, total 8672, active 8669, size 340, leak 2947460.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4313, size 48, leak 207024.
block 32, total 8672, active 8649, size 340, leak 2940660.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4234, size 48, leak 203232.
block 32, total 8672, active 8646, size 340, leak 2939640.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 6600, active 4179, size 48, leak 200592.
block 32, total 8672, active 8665, size 340, leak 2946100.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4142, size 48, leak 198816.
block 32, total 8672, active 8650, size 340, leak 2941000.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 6200, active 4406, size 48, leak 211488.
block 32, total 9184, active 9164, size 340, leak 3115760.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4244, size 48, leak 203712.
block 32, total 9152, active 9136, size 340, leak 3106240.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4331, size 48, leak 207888.
block 32, total 9152, active 9143, size 340, leak 3108620.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 2993, size 48, leak 143664.
block 32, total 9152, active 9130, size 340, leak 3104200.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4037, size 48, leak 193776.
block 32, total 9152, active 9129, size 340, leak 3103860.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4440, size 48, leak 213120.
block 32, total 9152, active 9132, size 340, leak 3104880.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 2903, size 48, leak 139344.
block 32, total 9152, active 9130, size 340, leak 3104200.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4016, size 48, leak 192768.
block 32, total 9152, active 9127, size 340, leak 3103180.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 7800, active 4368, size 48, leak 209664.
block 32, total 9152, active 9152, size 340, leak 3111680.
block 1000, total 38000, active 15605, size 12, leak 187260.
block 200, total 5200, active 4854, size 48, leak 232992.
block 32, total 8576, active 8575, size 340, leak 2915500.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 2000, active 1931, size 48, leak 92688.
block 32, total 8640, active 8633, size 340, leak 2935220.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 4200, active 4038, size 48, leak 193824.
block 32, total 8640, active 8633, size 340, leak 2935220.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 7800, active 6034, size 48, leak 289632.
block 32, total 8672, active 8651, size 340, leak 2941340.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 3013, size 48, leak 144624.
block 32, total 8672, active 8660, size 340, leak 2944400.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 2891, size 48, leak 138768.
block 32, total 8544, active 8527, size 340, leak 2899180.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 4261, size 48, leak 204528.
block 32, total 8544, active 8526, size 340, leak 2898840.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 4512, size 48, leak 216576.
block 32, total 8544, active 8542, size 340, leak 2904280.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6200, active 3176, size 48, leak 152448.
block 32, total 8544, active 8542, size 340, leak 2904280.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 7400, active 4359, size 48, leak 209232.
block 32, total 8544, active 8541, size 340, leak 2903940.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 7600, active 4287, size 48, leak 205776.
block 32, total 8672, active 8666, size 340, leak 2946440.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 6400, active 4160, size 48, leak 199680.
block 32, total 8672, active 8668, size 340, leak 2947120.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6000, active 4222, size 48, leak 202656.
block 32, total 8672, active 8653, size 340, leak 2942020.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6600, active 4539, size 48, leak 217872.
block 32, total 8672, active 8653, size 340, leak 2942020.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 7800, active 4422, size 48, leak 212256.
block 32, total 8704, active 8684, size 340, leak 2952560.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6400, active 4421, size 48, leak 212208.
block 32, total 8672, active 8658, size 340, leak 2943720.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4326, size 48, leak 207648.
block 32, total 8672, active 8654, size 340, leak 2942360.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6600, active 4365, size 48, leak 209520.
block 32, total 8672, active 8671, size 340, leak 2948140.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6000, active 3243, size 48, leak 155664.
block 32, total 8672, active 8668, size 340, leak 2947120.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4002, size 48, leak 192096.
block 32, total 8672, active 8653, size 340, leak 2942020.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4289, size 48, leak 205872.
block 32, total 8672, active 8650, size 340, leak 2941000.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4022, size 48, leak 193056.
block 32, total 7392, active 7382, size 340, leak 2509880.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4314, size 48, leak 207072.
block 32, total 7392, active 7372, size 340, leak 2506480.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4176, size 48, leak 200448.
block 32, total 7392, active 7382, size 340, leak 2509880.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4217, size 48, leak 202416.
block 32, total 7392, active 7390, size 340, leak 2512600.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 4478, size 48, leak 214944.
block 32, total 7424, active 7402, size 340, leak 2516680.
block 1000, total 38000, active 15630, size 12, leak 187560.
block 200, total 8600, active 4331, size 48, leak 207888.
block 32, total 8704, active 8678, size 340, leak 2950520.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 7600, active 4351, size 48, leak 208848.
block 32, total 8672, active 8666, size 340, leak 2946440.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 4247, size 48, leak 203856.
block 32, total 8704, active 8673, size 340, leak 2948820.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5800, active 4310, size 48, leak 206880.
block 32, total 8672, active 8667, size 340, leak 2946780.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 6800, active 4365, size 48, leak 209520.
block 32, total 8672, active 8669, size 340, leak 2947460.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 5600, active 3206, size 48, leak 153888.
block 32, total 8704, active 8685, size 340, leak 2952900.
block 1000, total 38000, active 15610, size 12, leak 187320.
block 200, total 8000, active 4513, size 48, leak 216624.
block 32, total 8736, active 8705, size 340, leak 2959700.
block 1000, total 38000, active 15686, size 12, leak 188232.
block 200, total 5600, active 3091, size 48, leak 148368.
block 32, total 8704, active 8687, size 340, leak 2953580.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 4219, size 48, leak 202512.
block 32, total 8672, active 8663, size 340, leak 2945420.
block 1000, total 38000, active 15795, size 12, leak 189540.
block 200, total 8800, active 4373, size 48, leak 209904.
block 32, total 8768, active 8747, size 340, leak 2973980.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5400, active 4226, size 48, leak 202848.
block 32, total 8672, active 8665, size 340, leak 2946100.
block 1000, total 38000, active 15686, size 12, leak 188232.
block 200, total 5600, active 4762, size 48, leak 228576.
block 200, total 2400, active 1449, size 48, leak 69552.
block 32, total 8704, active 8682, size 340, leak 2951880.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5800, active 4400, size 48, leak 211200.
block 32, total 8672, active 8667, size 340, leak 2946780.
block 1000, total 39000, active 16352, size 12, leak 196224.
block 200, total 8000, active 4390, size 48, leak 210720.
block 32, total 8704, active 8687, size 340, leak 2953580.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 7600, active 4417, size 48, leak 212016.
block 32, total 8704, active 8677, size 340, leak 2950180.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5800, active 3113, size 48, leak 149424.
block 32, total 8672, active 8668, size 340, leak 2947120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 6400, active 4599, size 48, leak 220752.
block 32, total 8672, active 8666, size 340, leak 2946440.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3218, size 48, leak 154464.
block 32, total 9152, active 9137, size 340, leak 3106580.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 4268, size 48, leak 204864.
block 32, total 9152, active 9137, size 340, leak 3106580.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 7600, active 4630, size 48, leak 222240.
block 32, total 9152, active 9137, size 340, leak 3106580.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3181, size 48, leak 152688.
block 32, total 9152, active 9139, size 340, leak 3107260.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3995, size 48, leak 191760.
block 32, total 9152, active 9130, size 340, leak 3104200.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3949, size 48, leak 189552.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 7000, active 4308, size 48, leak 206784.
block 32, total 9152, active 9139, size 340, leak 3107260.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3884, size 48, leak 186432.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3965, size 48, leak 190320.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3974, size 48, leak 190752.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3933, size 48, leak 188784.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3949, size 48, leak 189552.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3954, size 48, leak 189792.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3954, size 48, leak 189792.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 3969, size 48, leak 190512.
block 32, total 9120, active 9118, size 340, leak 3100120.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 5600, active 4079, size 48, leak 195792.
block 32, total 9184, active 9178, size 340, leak 3120520.
block 1000, total 38000, active 15614, size 12, leak 187368.
block 200, total 6800, active 4464, size 48, leak 214272.
block 32, total 9216, active 9188, size 340, leak 3123920.
block 1000, total 38000, active 15626, size 12, leak 187512.
block 200, total 7200, active 3164, size 48, leak 151872.
block 32, total 9248, active 9231, size 340, leak 3138540.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 6200, active 4493, size 48, leak 215664.
block 32, total 9216, active 9186, size 340, leak 3123240.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 3076, size 48, leak 147648.
block 32, total 9216, active 9188, size 340, leak 3123920.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 6200, active 4779, size 48, leak 229392.
block 32, total 9216, active 9186, size 340, leak 3123240.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 6600, active 4460, size 48, leak 214080.
block 32, total 9216, active 9190, size 340, leak 3124600.
block 1000, total 38000, active 15721, size 12, leak 188652.
block 200, total 7000, active 4495, size 48, leak 215760.
block 32, total 9216, active 9195, size 340, leak 3126300.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 4494, size 48, leak 215712.
block 32, total 9216, active 9186, size 340, leak 3123240.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 5600, active 3094, size 48, leak 148512.
block 32, total 9216, active 9193, size 340, leak 3125620.
block 1000, total 38000, active 15724, size 12, leak 188688.
block 200, total 6600, active 4256, size 48, leak 204288.
block 32, total 9216, active 9189, size 340, leak 3124260.
block 32, total 9184, active 9158, size 340, leak 3113720.
block 32, total 9184, active 9158, size 340, leak 3113720.
block 32, total 9184, active 9158, size 340, leak 3113720.
block 1000, total 38000, active 15720, size 12, leak 188640.
block 200, total 8000, active 4507, size 48, leak 216336.
block 32, total 9216, active 9214, size 340, leak 3132760.
block 32, total 9184, active 9158, size 340, leak 3113720.
block 32, total 9184, active 9158, size 340, leak 3113720.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 5400, active 4179, size 48, leak 200592.
block 32, total 9184, active 9169, size 340, leak 3117460.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 7000, active 4248, size 48, leak 203904.
block 32, total 9216, active 9192, size 340, leak 3125280.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 4600, active 4497, size 48, leak 215856.
block 32, total 9184, active 9169, size 340, leak 3117460.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 5200, active 3826, size 48, leak 183648.
block 32, total 9184, active 9169, size 340, leak 3117460.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 6600, active 4083, size 48, leak 195984.
block 32, total 9216, active 9201, size 340, leak 3128340.
block 1000, total 38000, active 15679, size 12, leak 188148.
block 200, total 7200, active 4319, size 48, leak 207312.
block 32, total 9216, active 9206, size 340, leak 3130040.
block 1000, total 38000, active 15777, size 12, leak 189324.
block 200, total 6600, active 4220, size 48, leak 202560.
block 32, total 8704, active 8691, size 340, leak 2954940.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 5600, active 2913, size 48, leak 139824.
block 32, total 8704, active 8693, size 340, leak 2955620.
block 1000, total 38000, active 15679, size 12, leak 188148.
block 200, total 6000, active 3077, size 48, leak 147696.
block 32, total 8736, active 8733, size 340, leak 2969220.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 6800, active 4439, size 48, leak 213072.
block 32, total 8704, active 8701, size 340, leak 2958340.
block 1000, total 38000, active 15674, size 12, leak 188088.
block 200, total 5600, active 2909, size 48, leak 139632.
block 32, total 8704, active 8693, size 340, leak 2955620.
block 1000, total 38000, active 15681, size 12, leak 188172.
block 200, total 5600, active 3133, size 48, leak 150384.
block 32, total 8704, active 8693, size 340, leak 2955620.
block 1000, total 38000, active 15738, size 12, leak 188856.
block 200, total 6800, active 4412, size 48, leak 211776.
block 32, total 8736, active 8707, size 340, leak 2960380.
block 1000, total 38000, active 15726, size 12, leak 188712.
block 200, total 5600, active 4252, size 48, leak 204096.
block 32, total 8704, active 8693, size 340, leak 2955620.
block 1000, total 38000, active 15701, size 12, leak 188412.
block 200, total 5600, active 3254, size 48, leak 156192.
block 32, total 8704, active 8695, size 340, leak 2956300.
block 1000, total 38000, active 15734, size 12, leak 188808.
block 200, total 6600, active 4396, size 48, leak 211008.
block 32, total 8736, active 8705, size 340, leak 2959700.
block 1000, total 38000, active 15698, size 12, leak 188376.
block 200, total 6800, active 4208, size 48, leak 201984.
block 32, total 8704, active 8701, size 340, leak 2958340.
block 1000, total 38000, active 15729, size 12, leak 188748.
block 200, total 5400, active 3257, size 48, leak 156336.
block 32, total 8736, active 8706, size 340, leak 2960040.
block 1000, total 38000, active 15678, size 12, leak 188136.
block 200, total 7000, active 4475, size 48, leak 214800.
block 32, total 8704, active 8673, size 340, leak 2948820.
block 1000, total 38000, active 15698, size 12, leak 188376.
block 200, total 5800, active 2885, size 48, leak 138480.
block 32, total 8736, active 8732, size 340, leak 2968880.
block 1000, total 39000, active 16048, size 12, leak 192576.
block 200, total 7400, active 4338, size 48, leak 208224.
block 32, total 8736, active 8712, size 340, leak 2962080.
block 1000, total 39000, active 16055, size 12, leak 192660.
block 200, total 7400, active 4457, size 48, leak 213936.
block 32, total 8736, active 8718, size 340, leak 2964120.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 6000, active 4297, size 48, leak 206256.
block 32, total 8736, active 8712, size 340, leak 2962080.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5400, active 3024, size 48, leak 145152.
block 32, total 8736, active 8712, size 340, leak 2962080.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 2855, size 48, leak 137040.
block 32, total 8704, active 8704, size 340, leak 2959360.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 7400, active 4272, size 48, leak 205056.
block 32, total 8736, active 8712, size 340, leak 2962080.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5200, active 5047, size 48, leak 242256.
block 32, total 8704, active 8692, size 340, leak 2955280.
block 1000, total 39000, active 16200, size 12, leak 194400.
block 200, total 6600, active 4340, size 48, leak 208320.
block 32, total 8800, active 8771, size 340, leak 2982140.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5200, active 4206, size 48, leak 201888.
block 32, total 8704, active 8692, size 340, leak 2955280.
block 1000, total 38000, active 15715, size 12, leak 188580.
block 200, total 5600, active 4240, size 48, leak 203520.
block 32, total 8736, active 8709, size 340, leak 2961060.
block 1000, total 38000, active 15706, size 12, leak 188472.
block 200, total 5400, active 4071, size 48, leak 195408.
block 32, total 8704, active 8703, size 340, leak 2959020.
block 1000, total 38000, active 15871, size 12, leak 190452.
block 200, total 6600, active 5185, size 48, leak 248880.
block 32, total 8736, active 8709, size 340, leak 2961060.
block 1000, total 38000, active 15708, size 12, leak 188496.
block 200, total 6800, active 4268, size 48, leak 204864.
block 32, total 7584, active 7584, size 340, leak 2578560.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 6800, active 4430, size 48, leak 212640.
block 32, total 7584, active 7583, size 340, leak 2578220.
block 1000, total 38000, active 15735, size 12, leak 188820.
block 200, total 6600, active 4569, size 48, leak 219312.
block 32, total 7616, active 7594, size 340, leak 2581960.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4463, size 48, leak 214224.
block 32, total 7616, active 7585, size 340, leak 2578900.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4477, size 48, leak 214896.
block 32, total 7584, active 7584, size 340, leak 2578560.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4460, size 48, leak 214080.
block 32, total 7616, active 7603, size 340, leak 2585020.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4322, size 48, leak 207456.
block 32, total 7616, active 7585, size 340, leak 2578900.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4125, size 48, leak 198000.
block 32, total 8032, active 8026, size 340, leak 2728840.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 2973, size 48, leak 142704.
block 32, total 8032, active 8028, size 340, leak 2729520.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5200, active 4450, size 48, leak 213600.
block 32, total 8032, active 8015, size 340, leak 2725100.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4082, size 48, leak 195936.
block 32, total 7616, active 7595, size 340, leak 2582300.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4405, size 48, leak 211440.
block 32, total 7616, active 7602, size 340, leak 2584680.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 3083, size 48, leak 147984.
block 32, total 8768, active 8737, size 340, leak 2970580.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 6800, active 4713, size 48, leak 226224.
block 32, total 8736, active 8735, size 340, leak 2969900.
block 1000, total 38000, active 15707, size 12, leak 188484.
block 200, total 6200, active 4510, size 48, leak 216480.
block 32, total 8768, active 8741, size 340, leak 2971940.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 6000, active 4795, size 48, leak 230160.
block 32, total 8736, active 8708, size 340, leak 2960720.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 6200, active 4362, size 48, leak 209376.
block 32, total 8768, active 8741, size 340, leak 2971940.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4340, size 48, leak 208320.
block 32, total 8736, active 8713, size 340, leak 2962420.
block 1000, total 38000, active 15705, size 12, leak 188460.
block 200, total 5600, active 4739, size 48, leak 227472.
block 32, total 8768, active 8742, size 340, leak 2972280.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5600, active 4286, size 48, leak 205728.
block 32, total 8736, active 8705, size 340, leak 2959700.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 5200, active 4715, size 48, leak 226320.
block 32, total 8672, active 8666, size 340, leak 2946440.
block 1000, total 38000, active 15703, size 12, leak 188436.
block 200, total 4200, active 3955, size 48, leak 189840.
block 32, total 8672, active 8666, size 340, leak 2946440.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 5200, active 3989, size 48, leak 191472.
block 32, total 10432, active 10405, size 340, leak 3537700.
block 1000, total 39000, active 16191, size 12, leak 194292.
block 200, total 8600, active 4208, size 48, leak 201984.
block 32, total 10496, active 10468, size 340, leak 3559120.
block 1000, total 39000, active 16294, size 12, leak 195528.
block 200, total 7400, active 4294, size 48, leak 206112.
block 32, total 10496, active 10467, size 340, leak 3558780.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 5200, active 4533, size 48, leak 217584.
block 32, total 10464, active 10433, size 340, leak 3547220.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 5200, active 4690, size 48, leak 225120.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 39000, active 16218, size 12, leak 194616.
block 200, total 8000, active 4353, size 48, leak 208944.
block 32, total 10496, active 10483, size 340, leak 3564220.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 6000, active 3023, size 48, leak 145104.
block 32, total 10496, active 10479, size 340, leak 3562860.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 7600, active 4214, size 48, leak 202272.
block 32, total 10496, active 10476, size 340, leak 3561840.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 5800, active 3175, size 48, leak 152400.
block 32, total 10496, active 10471, size 340, leak 3560140.
block 1000, total 39000, active 16307, size 12, leak 195684.
block 200, total 7400, active 3215, size 48, leak 154320.
block 32, total 10464, active 10455, size 340, leak 3554700.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 5200, active 4760, size 48, leak 228480.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 39000, active 16186, size 12, leak 194232.
block 200, total 5200, active 4568, size 48, leak 219264.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 36000, active 14631, size 12, leak 175572.
block 200, total 5200, active 4430, size 48, leak 212640.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 4200, active 4134, size 48, leak 198432.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 5400, active 2951, size 48, leak 141648.
block 32, total 10464, active 10463, size 340, leak 3557420.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 5600, active 4139, size 48, leak 198672.
block 32, total 10464, active 10448, size 340, leak 3552320.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 6400, active 4530, size 48, leak 217440.
block 32, total 10464, active 10449, size 340, leak 3552660.
block 1000, total 35000, active 14195, size 12, leak 170340.
block 200, total 6000, active 4508, size 48, leak 216384.
block 32, total 10464, active 10461, size 340, leak 3556740.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 5600, active 3983, size 48, leak 191184.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 35000, active 14192, size 12, leak 170304.
block 200, total 5600, active 4497, size 48, leak 215856.
block 32, total 10496, active 10475, size 340, leak 3561500.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 5600, active 3004, size 48, leak 144192.
block 32, total 10464, active 10450, size 340, leak 3553000.
block 1000, total 35000, active 14186, size 12, leak 170232.
block 200, total 5600, active 4113, size 48, leak 197424.
block 32, total 10464, active 10450, size 340, leak 3553000.
block 32, total 10432, active 10421, size 340, leak 3543140.
block 1000, total 4000, active 1786, size 68, leak 121448.
block 32, total 10432, active 10421, size 340, leak 3543140.
block 1000, total 4000, active 1786, size 68, leak 121448.
block 32, total 10432, active 10421, size 340, leak 3543140.
block 1000, total 4000, active 1786, size 68, leak 121448.
block 32, total 10432, active 10421, size 340, leak 3543140.
block 1000, total 4000, active 1792, size 68, leak 121856.
block 1000, total 37000, active 15201, size 12, leak 182412.
block 200, total 5400, active 4682, size 48, leak 224736.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 37000, active 15201, size 12, leak 182412.
block 200, total 5400, active 4940, size 48, leak 237120.
block 32, total 10432, active 10432, size 340, leak 3546880.
block 1000, total 37000, active 15201, size 12, leak 182412.
block 200, total 7000, active 5524, size 48, leak 265152.
block 32, total 10464, active 10460, size 340, leak 3556400.
block 1000, total 37000, active 15201, size 12, leak 182412.
block 200, total 5600, active 3142, size 48, leak 150816.
block 32, total 10464, active 10454, size 340, leak 3554360.
block 1000, total 37000, active 15203, size 12, leak 182436.
block 200, total 5600, active 3127, size 48, leak 150096.
block 32, total 10464, active 10455, size 340, leak 3554700.
